type,u,g,r,i,z,u-g,i-z
6,22.34104,19.9285,18.576,17.96983,17.62436,2.41254,0.34547
6,20.8019,19.19597,18.54232,18.27945,18.16104,1.60593,0.11841
6,20.77987,18.37531,16.96092,16.00555,15.4171,2.40456,0.58845
6,25.88802,21.40847,19.76748,18.12137,17.20303,4.47955,0.91834
6,23.92297,22.93624,21.82415,20.66287,19.76207,0.98673,0.9008
6,25.41398,21.91774,20.51375,19.51123,18.93035,3.49624,0.58088
6,23.99911,25.21526,25.595,24.62284,20.53077,-1.21615,4.09207
6,24.62776,25.46344,25.30859,23.74793,20.91272,-0.83568,2.83521
6,19.48251,18.77385,18.58948,18.41629,18.48961,0.70866,-0.07332
6,25.33781,25.03737,23.26285,23.99833,22.64491,0.30044,1.35342
6,22.12144,21.96222,21.55384,21.09572,20.93375,0.15922,0.16197
6,22.29354,24.93116,24.87123,23.80461,22.44554,-2.63762,1.35907
6,23.98331,23.16355,23.59071,23.85789,21.64494,0.81976,2.21295
6,23.35893,23.48975,22.15387,21.64836,21.7927,-0.13082,-0.14434
6,24.58719,24.4527,22.40627,20.45046,19.38209,0.13449,1.06837
6,22.30431,25.13384,24.53441,24.15242,21.68893,-2.82953,2.46349
6,24.74916,21.58166,20.1431,19.63825,19.17478,3.1675,0.46347
6,22.55965,25.01857,24.51259,25.25943,22.50496,-2.45892,2.75447
6,21.87525,25.28783,25.90398,23.38652,23.56926,-3.41258,-0.18274
6,25.54129,25.19393,24.07563,22.18047,21.30004,0.34736,0.88043
6,25.44123,25.62843,25.56853,24.39569,19.58496,-0.1872,4.81073
6,23.41974,23.56904,22.62847,22.63856,22.23488,-0.1493,0.40368
6,24.46612,23.97625,23.99501,22.62598,22.71676,0.48987,-0.09078
6,21.99685,20.22086,19.46324,19.17633,18.96868,1.77599,0.20765
6,23.96828,22.00717,20.60957,19.78919,19.30178,1.96111,0.48741
6,22.30915,25.26749,24.05468,24.55844,22.61975,-2.95834,1.93869
6,22.69324,24.78485,25.00862,24.23394,22.57034,-2.09161,1.6636
6,22.50984,25.23774,24.20725,24.16291,22.30623,-2.7279,1.85668
6,22.58906,24.84683,24.58661,24.64689,22.3086,-2.25777,2.33829
6,22.87502,25.85707,24.56551,24.63752,23.092,-2.98205,1.54552
6,22.62619,25.40799,25.46791,25.13548,23.4114,-2.7818,1.72408
6,22.26358,21.20998,20.92644,20.62187,20.36447,1.0536,0.2574
6,24.42101,24.35239,23.61663,21.82366,21.71439,0.06862,0.10927
6,23.78357,25.68838,24.07496,24.36289,20.64708,-1.90481,3.71581
6,16.28923,14.81047,14.27396,14.10994,14.04372,1.47876,0.06622
6,24.72928,24.01493,23.35788,22.28566,22.99789,0.71435,-0.71223
6,24.00913,25.32532,24.70241,22.30396,22.95945,-1.31619,-0.65549
6,18.63503,18.61287,18.78329,18.97643,19.13004,0.02216,-0.15361
6,22.60315,25.63605,24.698,23.59474,22.69573,-3.0329,0.89901
6,22.27081,24.84666,24.27978,23.60809,23.31796,-2.57585,0.29013
6,21.55722,20.62622,20.32658,20.24928,20.29423,0.931,-0.04495
6,22.31705,25.05926,25.79713,24.24722,23.55346,-2.74221,0.69376
6,24.88096,23.36903,24.86357,23.54,22.36623,1.51193,1.17377
6,24.44564,23.27945,22.46989,22.80265,22.91609,1.16619,-0.11344
6,25.38644,25.42913,24.88434,23.84375,20.69117,-0.04269,3.15258
6,23.14677,21.09131,19.84739,19.26013,18.94289,2.05546,0.31724
6,24.53128,25.14205,23.30455,21.89738,21.1102,-0.61077,0.78718
6,26.1355,25.01577,23.97007,22.23504,22.47879,1.11973,-0.24375
6,24.64491,24.60071,25.18286,24.87655,20.5524,0.0442,4.32415
6,24.4003,25.61649,24.00785,23.14944,20.94114,-1.21619,2.2083
6,19.39397,17.6356,16.96587,16.71069,16.5761,1.75837,0.13459
6,22.26793,25.27946,24.84801,23.99965,22.35822,-3.01153,1.64143
6,22.0049,25.16272,25.35509,24.9354,23.14929,-3.15782,1.78611
6,22.40125,21.53474,20.88581,20.60306,20.40462,0.86651,0.19844
6,22.36323,25.42251,25.2687,24.03194,22.83405,-3.05928,1.19789
6,25.83195,23.14186,22.31534,21.15013,20.37187,2.69009,0.77826
6,23.55717,25.26562,24.58521,22.48948,21.42839,-1.70845,1.06109
6,24.46727,23.87205,22.53085,21.42446,20.84148,0.59522,0.58298
6,23.90665,25.5366,23.01439,24.35097,22.64775,-1.62995,1.70322
6,25.33942,24.17505,24.31978,22.46192,23.90999,1.16437,-1.44807
6,24.70341,24.00694,23.04247,22.04514,22.72791,0.69647,-0.68277
6,25.35555,26.39281,23.63408,22.16198,23.48142,-1.03726,-1.31944
